keyword,count,frequency
organizational celebrity,1,0.0018
social approval assets,1,0.0018
brand attachment,1,0.0018
generic messages,1,0.0018
specific messages,1,0.0018
attitude towards online shopping,1,0.0018
customer online shopping,1,0.0018
e-customer engagement,1,0.0018
online shopping experience,1,0.0018
carbon emission,1,0.0018
green consumption behaviors (gcb),1,0.0018
green purchase intention (gpi),1,0.0018
sustainable environment,1,0.0018
corporate ability (ca),1,0.0018
consumer ambivalence,1,0.0018
mediating effect,1,0.0018
mnc,1,0.0018
customer advocacy,1,0.0018
microfinance banks,1,0.0018
airline’s image,1,0.0018
customer’s loyalty,1,0.0018
multinational organisations,1,0.0018
perceived prestige,1,0.0018
brand csr,1,0.0018
co-created csr,1,0.0018
csr classification,1,0.0018
marketing mix,1,0.0018
agribusiness,1,0.0018
indicators,1,0.0018
amo,1,0.0018
eco-friendly behavior,1,0.0018
anxiety,1,0.0018
food safety,1,0.0018
green purchase behavior,1,0.0018
southeast asia,1,0.0018
brand boycott,1,0.0018
political consumerism,1,0.0018
social network analysis,1,0.0018
peru,1,0.0018
donation intention,1,0.0018
perceived ethical climate,1,0.0018
regulatory focus theory,1,0.0018
sense of power,1,0.0018
customer affective commitment,1,0.0018
customer perceived quality,1,0.0018
customer positive word of mouth,1,0.0018
commitment-trust theory,1,0.0018
customer relationship management practices,1,0.0018
technology alignment,1,0.0018
csr disclosure and perception,1,0.0018
employees' innovative job performance,1,0.0018
family ownership,1,0.0018
multilevel research,1,0.0018
business and society,1,0.0018
co-occurrence,1,0.0018
conceptual structure,1,0.0018
evolution,1,0.0018
science mapping approach,1,0.0018
scimat,1,0.0018
integrative framework,1,0.0018
service industries,1,0.0018
corporate trust,1,0.0018
self-image congruence,1,0.0018
employee resistance to change,1,0.0018
pro-environmental psychological climate,1,0.0018
gastronomic tourism,1,0.0018
international tourism,1,0.0018
protected denominations of origin,1,0.0018
process macro,1,0.0018
serial mediation,1,0.0018
social networking sites,1,0.0018
anticipated organizational support,1,0.0018
hospitality recruitment,1,0.0018
organizational attraction,1,0.0018
p-o fit,1,0.0018
pride from membership,1,0.0018
socially controversial csr,1,0.0018
willingness to pay a higher price,1,0.0018
loyalty and behavior,1,0.0018
knowledge management exploitation,1,0.0018
knowledge management exploration,1,0.0018
process innovation capabilities,1,0.0018
product innovation capabilities,1,0.0018
renewable energy sector,1,0.0018
company-internal csr,1,0.0018
extrinsic csr attributions,1,0.0018
luxury companies,1,0.0018
customer engagement (ce),1,0.0018
customer pro-environmental behaviors (pebs),1,0.0018
employee wellbeing,1,0.0018
sdg goal 3,1,0.0018
self-reliance and preservation,1,0.0018
social sustainability,1,0.0018
workplace health promotion,1,0.0018
media,1,0.0018
news aggregator,1,0.0018
business,1,0.0018
community,1,0.0018
multi-dimensional csr,1,0.0018
smart pls,1,0.0018
behavioral intentions,1,0.0018
eco-friendly tableware,1,0.0018
antecedents,1,0.0018
consequences,1,0.0018
food chains,1,0.0018
customer loyalty intention,1,0.0018
social responsibility initiative,1,0.0018
transformative service research,1,0.0018
carroll’s pyramid,1,0.0018
triple bottom line approach,1,0.0018
attribution,1,0.0018
expectancy confirmation/disconfirmation,1,0.0018
pay,1,0.0018
referral,1,0.0018
attitude–behaviour gap,1,0.0018
company evaluation,1,0.0018
low trust society,1,0.0018
product association,1,0.0018
egypt,1,0.0018
iso 26000,1,0.0018
boomerang employment,1,0.0018
boomerang intention,1,0.0018
legacy identification,1,0.0018
organizational prestige,1,0.0018
psychological contract violation,1,0.0018
hygiene,1,0.0018
self-care measure,1,0.0018
social distancing,1,0.0018
service justice,1,0.0018
service satisfaction,1,0.0018
social influence,1,0.0018
environmental-csr,1,0.0018
small and medium enterprises (smes),1,0.0018
olympic games,1,0.0018
professional sports,1,0.0018
sport governing body,1,0.0018
enduring involvement,1,0.0018
fan engagement,1,0.0018
fan loyalty,1,0.0018
soccer,1,0.0018
team brand image,1,0.0018
consumers’ response,1,0.0018
identity disclosure,1,0.0018
task complexity,1,0.0018
text-based chatbot,1,0.0018
clothing sector,1,0.0018
perceived benefits,1,0.0018
corporate social responsibil-ity,1,0.0018
e-word of mouth,1,0.0018
positive customer emotions,1,0.0018
discounts and packages offers,1,0.0018
diffusion,1,0.0018
information,1,0.0018
market orientation,1,0.0018
partial least squares (pls),1,0.0018
customer social behaviour,1,0.0018
smart partial least square (pls),1,0.0018
social responsible employees,1,0.0018
social responsible suppliers,1,0.0018
sustainable supply chain management,1,0.0018
bank loyalty,1,0.0018
csr beliefs,1,0.0018
retail bank context,1,0.0018
deodorants,1,0.0018
means-end approach,1,0.0018
carroll's pyramid of csr,1,0.0018
organizational innovation,1,0.0018
emerging market multinationals,1,0.0018
employees’ innovative behavior,1,0.0018
cognitive dimension,1,0.0018
cognitive elements,1,0.0018
destination competitiveness,1,0.0018
destination image,1,0.0018
industry,1,0.0018
meta-regression,1,0.0018
methodology,1,0.0018
csr strategy,1,0.0018
consumer rights awareness,1,0.0018
controversial industry,1,0.0018
firm risk,1,0.0018
systematic risk,1,0.0018
religious tourism,1,0.0018
segmentation,1,0.0018
stay,1,0.0018
ethical fashion,1,0.0018
donation goals,1,0.0018
expanded circle of moral regard,1,0.0018
knowledge accessibility,1,0.0018
moral identity,1,0.0018
moral self-concept,1,0.0018
spatial distance,1,0.0018
cause-brand fit,1,0.0018
cause-related marketing,1,0.0018
environmental values,1,0.0018
product type,1,0.0018
telecommunications industry,1,0.0018
cross-cultural comparison,1,0.0018
customer-brand identification,1,0.0018
corporate abilities,1,0.0018
implicit association test,1,0.0018
green banking initiatives,1,0.0018
green consumer loyalty,1,0.0018
green purchase,1,0.0018
moral norms,1,0.0018
perceived behavior control,1,0.0018
theory of planned behaviour,1,0.0018
event study,1,0.0018
socially responsible investment index,1,0.0018
goal-framing theory,1,0.0018
green-person-organization fit,1,0.0018
csr demand and supply,1,0.0018
strategic csr management,1,0.0018
asean countries,1,0.0018
covid-19 fear,1,0.0018
equity markets,1,0.0018
investment management,1,0.0018
volatility analysis,1,0.0018
legal csr activities,1,0.0018
consumer purchasing intention,1,0.0018
smes’ performance,1,0.0018
southern vietnam,1,0.0018
co-citation,1,0.0018
intellectual structure,1,0.0018
tourism network,1,0.0018
consumer commitment,1,0.0018
job embeddedness,1,0.0018
place attachment,1,0.0018
small tourism entrepreneurs,1,0.0018
natural language processing,1,0.0018
sentiment analysis,1,0.0018
emotional labor,1,0.0018
employees’ welfare,1,0.0018
perceived organizational support,1,0.0018
creative business,1,0.0018
design thinking,1,0.0018
innovators,1,0.0018
customer firm identification,1,0.0018
electronic-service quality,1,0.0018
cross-buying,1,0.0018
retail bank industry,1,0.0018
comprehensive activation determination model,1,0.0018
corporate greening,1,0.0018
habit,1,0.0018
smartpls,1,0.0018
social capital,1,0.0018
social commerce usage,1,0.0018
techno-stress,1,0.0018
hospitality and tourism industry,1,0.0018
firms’ strategic legitimacy,1,0.0018
product rating,1,0.0018
telecoms firms,1,0.0018
organization-level organizational citizenship behavior,1,0.0018
relative competitive performance,1,0.0018
work–life balance practices,1,0.0018
advertising,1,0.0018
cognitive flexibility,1,0.0018
mixed emotions,1,0.0018
pro-environmental,1,0.0018
patronage intentions,1,0.0018
repeat purchase,1,0.0018
online retailer,1,0.0018
consideration of future consequences,1,0.0018
intertemporal trade-offs,1,0.0018
prosocial behavior,1,0.0018
c-c identification,1,0.0018
television networks,1,0.0018
functional transparency,1,0.0018
gamified charity,1,0.0018
telepresence,1,0.0018
warm glow,1,0.0018
hospitality sector,1,0.0018
hotel brand positioning,1,0.0018
intention to revisit,1,0.0018
structural equations modeling,1,0.0018
figurative meaning,1,0.0018
language manipulation,1,0.0018
linguistic error,1,0.0018
online hotel review,1,0.0018
review rating,1,0.0018
ecological architecture,1,0.0018
extension,1,0.0018
landscape,1,0.0018
public space,1,0.0018
recycling,1,0.0018
rehabilitation,1,0.0018
moral beliefs,1,0.0018
psychological ownership,1,0.0018
shoplifting prevention,1,0.0018
soft surveillance measures,1,0.0018
partial least squares,1,0.0018
social enterprise,1,0.0018
structural equation model,1,0.0018
affective loyalty,1,0.0018
cognitive loyalty,1,0.0018
conative loyalty,1,0.0018
social csr,1,0.0018
stakeholder approach,1,0.0018
csr skepticism,1,0.0018
engagement,1,0.0018
self-construal,1,0.0018
environmental marketing,1,0.0018
socially responsible marketing,1,0.0018
information systems,1,0.0018
isomorphic forces,1,0.0018
market isomorphism,1,0.0018
omnichannel,1,0.0018
technology adoption,1,0.0018
ethical and legal responsibility,1,0.0018
impression formation,1,0.0018
morality,1,0.0018
business population,1,0.0018
corporate capital,1,0.0018
corporate cycle,1,0.0018
economies csr,1,0.0018
population health,1,0.0018
certification mechanism,1,0.0018
organic food,1,0.0018
s–o–r model,1,0.0018
firm innovativeness,1,0.0018
social worth,1,0.0018
customer behavioural loyalty,1,0.0018
bank marketing,1,0.0018
corporate social marketing,1,0.0018
in-school banking programmes,1,0.0018
marketing to children,1,0.0018
moral panic,1,0.0018
vulnerable consumers,1,0.0018
second-order model,1,0.0018
organizational citizenship behavior (ocb),1,0.0018
social identity theory (sit),1,0.0018
work engagement,1,0.0018
institutional perspective,1,0.0018
customers' csr perceptions,1,0.0018
multilevel analysis,1,0.0018
organizational climate,1,0.0018
socially responsible human resource management,1,0.0018
hotel brand loyalty,1,0.0018
bank profit,1,0.0018
corporate social identity (csi),1,0.0018
prioritisation,1,0.0018
quartile,1,0.0018
brand advocacy,1,0.0018
brand performance,1,0.0018
sales management,1,0.0018
employer choice,1,0.0018
policy capturing,1,0.0018
clothing and leather (cl) sector,1,0.0018
fashion system,1,0.0018
structural equation modelling (sem),1,0.0018
sustainable practices,1,0.0018
eco-friendly behaviour,1,0.0018
environmentally-concerned behaviour,1,0.0018
environmentally-responsible behaviour,1,0.0018
happiness,1,0.0018
life satisfaction,1,0.0018
pro-environmental behaviour,1,0.0018
csr branch manager,1,0.0018
csr customer,1,0.0018
csr marketing outcomes,1,0.0018
retail banking industry,1,0.0018
descriptive variables,1,0.0018
green competitive advantage,1,0.0018
logistic regression,1,0.0018
smme,1,0.0018
south africa,1,0.0018
western cape,1,0.0018
bicycle industries,1,0.0018
customer behavioural intentions,1,0.0018
prediction-oriented modeling,1,0.0018
demographical variables,1,0.0018
segmentation study,1,0.0018
congruence,1,0.0018
social impact specificity,1,0.0018
consumer patriotism,1,0.0018
corporate integrity,1,0.0018
domestic brand,1,0.0018
employer brand,1,0.0018
patriotic brand,1,0.0018
business case,1,0.0018
sris,1,0.0018
fast food restaurants,1,0.0018
work stress,1,0.0018
customer-based brand equity,1,0.0018
m30,1,0.0018
z33,1,0.0018
gen y,1,0.0018
long-term relationship orientation,1,0.0018
women empowerment,1,0.0018
customer attachment,1,0.0018
customer co-creation behavior,1,0.0018
customer csr perception,1,0.0018
customer spirituality,1,0.0018
customer behavior,1,0.0018
employee emotional exhaustion,1,0.0018
inconsistent csr strategies,1,0.0018
social and moral identification theory,1,0.0018
csr awareness,1,0.0018
value,1,0.0018
behavioural loyalty,1,0.0018
islamic banks,1,0.0018
catering,1,0.0018
discourse,1,0.0018
exposition,1,0.0018
hedonic service,1,0.0018
narrative,1,0.0018
storytelling,1,0.0018
utilitarian service,1,0.0018
cruise,1,0.0018
evaluation,1,0.0018
consumers' prosocial behavior,1,0.0018
csr activity,1,0.0018
customer support,1,0.0018
expectation,1,0.0018
consumer csr perception,1,0.0018
human values. schwartz human values theory,1,0.0018
employee donation,1,0.0018
need for status,1,0.0018
temporal distance,1,0.0018
company–consumer relationship consumer,1,0.0018
organizational responsibility,1,0.0018
relationship intention,1,0.0018
bank performance,1,0.0018
spiritual leadership,1,0.0018
continuance commitment,1,0.0018
dysfunctional customer behavior,1,0.0018
emotional exhaustion,1,0.0018
consumers associations,1,0.0018
global brands,1,0.0018
multinational corporations,1,0.0018
social responsible human resource practices,1,0.0018
country of domicile pressures,1,0.0018
legal institutions,1,0.0018
customer value co-creation behavior,1,0.0018
relationship marketing orientation,1,0.0018
servant leadership,1,0.0018
brand value,1,0.0018
moderating effect,1,0.0018
sincerity of csr,1,0.0018
citizen survey,1,0.0018
corporate citizenship (cc),1,0.0018
sustainability communication,1,0.0018
closed-loop supply chain,1,0.0018
confirmatory factorial analysis,1,0.0018
consumption,1,0.0018
economic crisis,1,0.0018
logit model,1,0.0018
customer behavioural intention,1,0.0018
service innovation,1,0.0018
bop,1,0.0018
bottom of the pyramid,1,0.0018
ethical responsibility,1,0.0018
philanthropic responsibility,1,0.0018
consumer intentions,1,0.0018
irresponsible behaviour,1,0.0018
perceived social responsibility,1,0.0018
social entrepreneurship,1,0.0018
willingness to buy,1,0.0018
contrasting economies,1,0.0018
"corporate social responsibility, social support",1,0.0018
employees’ perception,1,0.0018
qatar,1,0.0018
social responsibility (sr),1,0.0018
cognitive bias,1,0.0018
company–ngo collaboration,1,0.0018
moral cleansing,1,0.0018
moral licensing,1,0.0018
organizational citizenship behavior,1,0.0018
task performance,1,0.0018
co-word analysis,1,0.0018
ethical banking,1,0.0018
sustainable banking,1,0.0018
csr credibility,1,0.0018
csr participation intention,1,0.0018
customer-company identification (c–c identification),1,0.0018
customers' csr perception,1,0.0018
measurement,1,0.0018
psychometric validity,1,0.0018
stakeholder perception,1,0.0018
survey instruments,1,0.0018
confirmatory factor analysis,1,0.0018
structural equation models,1,0.0018
employees’ attitudes and behaviors,1,0.0018
focus groups,1,0.0018
millennial consumer,1,0.0018
millennial job seeker,1,0.0018
ridesharing,1,0.0018
case study,1,0.0018
hotel management,1,0.0018
malaysian independent hotels,1,0.0018
qualitative,1,0.0018
ecological consciousness,1,0.0018
employees individual beliefs,1,0.0018
philosophy of ecology,1,0.0018
customers' citizenship behavior for the environment (customer cbe),1,0.0018
employees' organizational citizenship behavior for the environment (employee ocbe),1,0.0018
environmentally specific servant leadership,1,0.0018
affective brand image,1,0.0018
leadership,1,0.0018
hr,1,0.0018
consumer brand relationship,1,0.0018
consumer moral foundation,1,0.0018
corporate social responsibility domain,1,0.0018
csr strategies,1,0.0018
subjective well-being,1,0.0018
ethiopia,1,0.0018
consumer purchasing behaviour,1,0.0018
customer social responsibility,1,0.0018
customer engagement in csr,1,0.0018
customer engagement in not for profit organisations,1,0.0018
customer relationship benefits,1,0.0018
socially responsible behavior,1,0.0018
societal behavior,1,0.0018
coercive,1,0.0018
ghana c,1,0.0018
mimetic,1,0.0018
normative,1,0.0018
selection,1,0.0018
university social responsibility (usr),1,0.0018
websites,1,0.0018
cross-country,1,0.0018
corporate entrepreneurship,1,0.0018
environmental consciousness,1,0.0018
green behaviour,1,0.0018
pro-environmental behaviours,1,0.0018
affective and cognitive satisfaction,1,0.0018
insurance,1,0.0018
advertisements and promotions to muslims,1,0.0018
islamic business ethics,1,0.0018
islamic marketing,1,0.0018
the muslim consumer,1,0.0018
socialization tactic,1,0.0018
time orientation,1,0.0018
humanitarian work psychology,1,0.0018
organizational justice,1,0.0018
person-centric work psychology,1,0.0018
consumer sentiment index,1,0.0018
salience,1,0.0018
stock market,1,0.0018
advertising regulation,1,0.0018
green advertisement,1,0.0018
hotel brands,1,0.0018
employee–company identification,1,0.0018
greece,1,0.0018
social exchange,1,0.0018
service recovery,1,0.0018
behavior,1,0.0018
word-of-mouth,1,0.0018
communication strategies,1,0.0018
e-reputation,1,0.0018
mediators,1,0.0018
moderators,1,0.0018
strategic corporate sustainability,1,0.0018
job satisfactionl,1,0.0018
africa,1,0.0018
brazil,1,0.0018
cape verde,1,0.0018
latin america,1,0.0018
multi-sectorial investigation,1,0.0018
perceptual corporate sustainability,1,0.0018
attributions,1,0.0018
collectivism,1,0.0018
csr consumer perceptions,1,0.0018
masculinity,1,0.0018
mediation effect,1,0.0018
social and non-social stakeholders,1,0.0018
consumer perception,1,0.0018
interview method,1,0.0018
advertising and publicity,1,0.0018
csr communication strategy,1,0.0018
environmental domain,1,0.0018
employee environmental behaviour,1,0.0018
intervention,1,0.0018
perceptions of organisational support,1,0.0018
perceived fit,1,0.0018
professional football,1,0.0018
sport marketing,1,0.0018
supply chain,1,0.0018
attributed motives,1,0.0018
job applicant,1,0.0018
perceived overall justice,1,0.0018
common method variance,1,0.0018
generalizability theory,1,0.0018
services brands,1,0.0018
corporate strategy,1,0.0018
corporate sustainable development,1,0.0018
ethical corporate identity,1,0.0018
organisational marketing,1,0.0018
conjoint analysis,1,0.0018
consumer preferences,1,0.0018
csr perceptions,1,0.0018
demography,1,0.0018
psychology,1,0.0018
customer relationships,1,0.0018
longitudinal,1,0.0018
sports,1,0.0018
cross-cultural study,1,0.0018
pharmaceutical advertising,1,0.0018
product evaluations,1,0.0018
socially responsible advertising,1,0.0018
cluster analysis,1,0.0018
customer,1,0.0018
business universities,1,0.0018
cross-cultural analysis,1,0.0018
partial least squared (pls,1,0.0018
potential top managers,1,0.0018
schwartz's human values,1,0.0018
institutional environments,1,0.0018
transition economies,1,0.0018
brand–cause fit,1,0.0018
consumer attitudes,1,0.0018
construal level theory,1,0.0018
psychological distance,1,0.0018
external pressure,1,0.0018
moral responsibility,1,0.0018
profit maximization,1,0.0018
corporate communication,1,0.0018
employee identity,1,0.0018
new zealand,1,0.0018
organizational culture,1,0.0018
employee attitudes,1,0.0018
poland,1,0.0018
consumers’ pro-social behavior,1,0.0018
motivations for csr,1,0.0018
comprehensive analysis,1,0.0018
environmental commitment,1,0.0018
megaproject,1,0.0018
organizational citizenship behaviors for the environment,1,0.0018
independent hotels,1,0.0018
customer behaviour,1,0.0018
ethics in marketing,1,0.0018
price fairness,1,0.0018
board diversity,1,0.0018
female talent,1,0.0018
gender diversity,1,0.0018
women directors,1,0.0018
consumer retention,1,0.0018
negative information,1,0.0018
affective attachment,1,0.0018
financial service representative,1,0.0018
triple bottom line,1,0.0018
consumption values,1,0.0018
customer value,1,0.0018
retail store image,1,0.0018
retailing,1,0.0018
bioeconomy,1,0.0018
forest industry,1,0.0018
national differences,1,0.0018
students,1,0.0018
consumer power,1,0.0018
corporate,1,0.0018
consumer reactions,1,0.0018
foods industry,1,0.0018
social performance,1,0.0018
attraction-selection-attrition theory,1,0.0018
cross-sector partnerships,1,0.0018
micro level interactions,1,0.0018
social contagion,1,0.0018
social learning theory,1,0.0018
trickle down,1,0.0018
trickle effects,1,0.0018
trickle round,1,0.0018
trickle up,1,0.0018
discretionary responsibilities toward community,1,0.0018
discretionary responsibilities toward employees,1,0.0018
discretionary responsibilities toward natural environment,1,0.0018
economic responsibilities toward customers,1,0.0018
economic responsibilities toward owners,1,0.0018
consumers' perception,1,0.0018
product evaluation,1,0.0018
customer perceptions,1,0.0018
green preferences,1,0.0018
green process,1,0.0018
green product,1,0.0018
labelling,1,0.0018
multinomial logistic regression,1,0.0018
social value,1,0.0018
counterfeit smartphones,1,0.0018
emerging consumer orientation in china,1,0.0018
ethical perceptions,1,0.0018
perceived social consequences,1,0.0018
competition,1,0.0018
consumer awareness,1,0.0018
online consumer skills,1,0.0018
sustainable purchasing decision,1,0.0018
customers' expectation,1,0.0018
managers' csr perception,1,0.0018
non-branch bank,1,0.0018
ecsi,1,0.0018
hotel sector,1,0.0018
behavioral finance,1,0.0018
fundamental anomalies,1,0.0018
heuristics,1,0.0018
investment performance,1,0.0018
technical anomalies,1,0.0018
lithuania,1,0.0018
socially responsible small and medium-sized enterprise,1,0.0018
corporate social responsibility initiative,1,0.0018
perceived community value,1,0.0018
switching cost,1,0.0018
purchase intents,1,0.0018
employer attractiveness,1,0.0018
individual attitudes,1,0.0018
employee environmental behavior,1,0.0018
environmental perceptions,1,0.0018
organizational citizenship behaviors,1,0.0018
organizational incentives,1,0.0018
organizational support,1,0.0018
affective organizational commitment,1,0.0018
normative organizational commitment,1,0.0018
questionnaire,1,0.0018
students’ perceptions,1,0.0018
affection,1,0.0018
cognition,1,0.0018
conation,1,0.0018
emotion,1,0.0018
future purchase intentions,1,0.0018
csr participation,1,0.0018
person-csr fit,1,0.0018
corporate social responsibility attributions,1,0.0018
manufacturing sector,1,0.0018
practices,1,0.0018
cross-cultural,1,0.0018
united states,1,0.0018
overall justice,1,0.0018
