support,itemsets_str,length
0.007207207207207207,organizational performance,1
0.007207207207207207,pro-environmental behavior,1
0.007207207207207207,quality of life,1
0.007207207207207207,retail,1
0.007207207207207207,revisit intention,1
0.007207207207207207,smes,1
0.007207207207207207,spain,1
0.007207207207207207,sustainable performance,1
0.007207207207207207,systematic literature review,1
0.005405405405405406,affective commitment + corporate social responsibility,2
0.005405405405405406,altruism + corporate social responsibility,2
0.005405405405405406,attitudinal loyalty,1
0.005405405405405406,attitudinal loyalty + corporate social responsibility,2
0.005405405405405406,banks + csr,2
0.005405405405405406,bibliometrics,1
0.005405405405405406,brand awareness + brand equity + brand loyalty,3
0.005405405405405406,brand equity + csr,2
0.005405405405405406,brand identification + corporate social responsibility,2
0.005405405405405406,brand image + brand trust,2
0.005405405405405406,brand image + customer loyalty,2
0.005405405405405406,brand image + customer satisfaction,2
0.005405405405405406,brand image + reputation,2
0.005405405405405406,brand loyalty + csr,2
0.005405405405405406,brand loyalty + purchase intention,2
0.005405405405405406,brand trust + corporate social responsibility,2
0.005405405405405406,co-creation + corporate social responsibility,2
0.005405405405405406,co-creation + sustainability,2
0.005405405405405406,consumer + corporate social responsibility,2
0.005405405405405406,consumer ethnocentrism,1
0.005405405405405406,consumer satisfaction,1
0.005405405405405406,corporate ability + corporate social responsibility,2
0.005405405405405406,corporate branding + corporate social responsibility,2
0.005405405405405406,corporate image + customer loyalty + service quality,3
0.005405405405405406,corporate image + customer satisfaction,2
0.005405405405405406,corporate image + service quality,2
0.005405405405405406,corporate philanthropy,1
0.005405405405405406,corporate reputation + corporate social responsibility + customer trust,3
0.005405405405405406,corporate reputation + customer trust,2
0.005405405405405406,corporate responsibility,1
0.005405405405405406,corporate social irresponsibility,1
0.005405405405405406,corporate social irresponsibility + corporate social responsibility,2
0.005405405405405406,corporate social responsibility (csr) + customer satisfaction,2
0.005405405405405406,corporate social responsibility + crisis,2
0.005405405405405406,corporate social responsibility + csr authenticity,2
0.005405405405405406,corporate social responsibility + customer citizenship behavior,2
0.005405405405405406,corporate social responsibility + customer loyalty + pakistan,3
0.005405405405405406,corporate social responsibility + customer satisfaction + reputation,3
0.005405405405405406,corporate social responsibility + emerging markets,2
0.005405405405405406,corporate social responsibility + employee commitment,2
0.005405405405405406,corporate social responsibility + financial performance,2
0.005405405405405406,corporate social responsibility + hotel,2
0.005405405405405406,corporate social responsibility + job satisfaction,2
0.005405405405405406,corporate social responsibility + loyalty + satisfaction,3
0.005405405405405406,corporate social responsibility + organizational commitment,2
0.005405405405405406,corporate social responsibility + organizational trust,2
0.005405405405405406,corporate social responsibility + philanthropy,2
0.005405405405405406,corporate social responsibility + purchase intentions,2
