antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
0.014414414414414415,0.007207207207207207,0.005405405405405406,0.375,52.03125,1.0,0.005301517733950167,1.5884684684684685,0.9951249238269348,0.3333333333333333,0.37046279491833034,0.5625,brand awareness,brand equity + brand loyalty
0.007207207207207207,0.014414414414414415,0.005405405405405406,0.75,52.03125,1.0,0.005301517733950167,3.9423423423423425,0.9879007864488809,0.3333333333333333,0.7463436928702011,0.5625,brand equity + brand loyalty,brand awareness
0.005405405405405406,0.023423423423423424,0.005405405405405406,1.0,42.69230769230769,1.0,0.005278792305819333,inf,0.9818840579710144,0.23076923076923078,1.0,0.6153846153846154,twitter,social media
0.009009009009009009,0.025225225225225224,0.007207207207207207,0.8,31.71428571428572,1.0,0.006979952925898872,4.873873873873875,0.9772727272727273,0.26666666666666666,0.7948243992606285,0.5428571428571429,customer loyalty + customer trust,corporate social responsibility + customer satisfaction
0.009009009009009009,0.01981981981981982,0.005405405405405406,0.6000000000000001,30.27272727272728,1.0,0.005226848470091714,2.4504504504504507,0.9757575757575757,0.2307692307692308,0.5919117647058825,0.4363636363636364,organizational trust,organizational identification
0.007207207207207207,0.025225225225225224,0.005405405405405406,0.75,29.732142857142858,1.0,0.005223601980358737,3.8990990990990992,0.9733817301875379,0.2,0.7435304990757856,0.48214285714285715,brand awareness + brand loyalty,brand equity
0.016216216216216217,0.016216216216216217,0.007207207207207207,0.4444444444444444,27.407407407407405,1.0,0.006944241538836133,1.7708108108108107,0.9793956043956044,0.2857142857142857,0.4352869352869353,0.4444444444444444,corporate social responsibility + customer trust,customer loyalty + customer satisfaction
0.016216216216216217,0.016216216216216217,0.007207207207207207,0.4444444444444444,27.407407407407405,1.0,0.006944241538836133,1.7708108108108107,0.9793956043956044,0.2857142857142857,0.4352869352869353,0.4444444444444444,customer loyalty + customer satisfaction,corporate social responsibility + customer trust
0.012612612612612612,0.021621621621621623,0.007207207207207207,0.5714285714285715,26.42857142857143,1.0,0.006934502069637205,2.282882882882883,0.9744525547445255,0.26666666666666666,0.5619573796369377,0.45238095238095244,corporate social responsibility + customer loyalty + customer satisfaction,customer trust
0.012612612612612612,0.016216216216216217,0.005405405405405406,0.4285714285714286,26.42857142857143,1.0,0.005200876552227904,1.7216216216216216,0.9744525547445256,0.23076923076923078,0.4191522762951335,0.38095238095238093,corporate image + customer loyalty,service quality
0.021621621621621623,0.012612612612612612,0.007207207207207207,0.3333333333333333,26.428571428571427,1.0,0.006934502069637205,1.481081081081081,0.9834254143646409,0.26666666666666666,0.3248175182481752,0.45238095238095244,customer trust,corporate social responsibility + customer loyalty + customer satisfaction
0.016216216216216217,0.012612612612612612,0.005405405405405406,0.3333333333333333,26.428571428571427,1.0,0.005200876552227904,1.481081081081081,0.9780219780219781,0.23076923076923078,0.3248175182481752,0.38095238095238093,service quality,corporate image + customer loyalty
0.007207207207207207,0.02882882882882883,0.005405405405405406,0.75,26.015625,1.0,0.005197630062494928,3.8846846846846845,0.9685420447670902,0.17647058823529413,0.7425788497217068,0.46875,brand awareness + brand equity,brand loyalty
0.009009009009009009,0.032432432432432434,0.007207207207207207,0.8,24.666666666666668,1.0,0.006915023131239348,4.837837837837839,0.9681818181818183,0.2105263157894737,0.7932960893854749,0.5111111111111111,customer satisfaction + customer trust,corporate social responsibility + customer loyalty
0.007207207207207207,0.03063063063063063,0.005405405405405406,0.75,24.485294117647058,1.0,0.005184644103563023,3.8774774774774774,0.9661222020568665,0.16666666666666666,0.7421003717472119,0.4632352941176471,customer loyalty + service quality,corporate image
0.016216216216216217,0.014414414414414415,0.005405405405405406,0.3333333333333333,23.125,1.0,0.005171658144631118,1.4783783783783784,0.9725274725274725,0.2142857142857143,0.3235831809872029,0.35416666666666663,corporate social responsibility + loyalty,satisfaction
0.014414414414414415,0.016216216216216217,0.005405405405405406,0.375,23.125,1.0,0.005171658144631118,1.574054054054054,0.9707495429616088,0.2142857142857143,0.36469780219780223,0.35416666666666663,satisfaction,corporate social responsibility + loyalty
0.009009009009009009,0.02702702702702703,0.005405405405405406,0.6000000000000001,22.200000000000003,1.0,0.005161918675432189,2.432432432432433,0.9636363636363635,0.17647058823529413,0.588888888888889,0.4,corporate social responsibility + satisfaction,loyalty
0.016216216216216217,0.021621621621621623,0.007207207207207207,0.4444444444444444,20.555555555555554,1.0,0.006856586316045776,1.761081081081081,0.9670329670329672,0.2352941176470588,0.43216697360343764,0.38888888888888884,customer loyalty + customer satisfaction,customer trust
0.021621621621621623,0.016216216216216217,0.007207207207207207,0.3333333333333333,20.555555555555554,1.0,0.006856586316045776,1.4756756756756755,0.9723756906077349,0.2352941176470588,0.32234432234432236,0.38888888888888884,customer trust,customer loyalty + customer satisfaction
0.014414414414414415,0.025225225225225224,0.007207207207207207,0.5,19.821428571428573,1.0,0.006843600357113871,1.9495495495495496,0.9634369287020109,0.22222222222222227,0.4870609981515711,0.3928571428571429,brand awareness,brand equity
0.014414414414414415,0.02882882882882883,0.007207207207207207,0.5,17.34375,1.0,0.006791656521386251,1.9423423423423423,0.9561243144424132,0.2,0.48515769944341375,0.375,brand awareness,brand loyalty
0.010810810810810811,0.02882882882882883,0.005405405405405406,0.5,17.34375,1.0,0.0050937423910396885,1.9423423423423423,0.9526411657559198,0.15789473684210528,0.48515769944341375,0.34375,stakeholder engagement,sustainable development
0.010810810810810811,0.02882882882882883,0.005405405405405406,0.5,17.34375,1.0,0.0050937423910396885,1.9423423423423423,0.9526411657559198,0.15789473684210528,0.48515769944341375,0.34375,sustainable consumption,sustainable development
0.009009009009009009,0.04684684684684685,0.007207207207207207,0.8,17.076923076923077,1.0,0.006785163541920299,4.765765765765767,0.9500000000000001,0.14814814814814817,0.7901701323251419,0.47692307692307695,corporate social responsibility + customer loyalty + customer trust,customer satisfaction
0.009009009009009009,0.04684684684684685,0.007207207207207207,0.8,17.076923076923077,1.0,0.006785163541920299,4.765765765765767,0.9500000000000001,0.14814814814814817,0.7901701323251419,0.47692307692307695,customer loyalty + customer trust,customer satisfaction
0.005405405405405406,0.05945945945945946,0.005405405405405406,1.0,16.818181818181817,1.0,0.00508400292184076,inf,0.9456521739130433,0.09090909090909091,1.0,0.5454545454545454,corporate image + service quality,customer loyalty
0.025225225225225224,0.021621621621621623,0.009009009009009009,0.35714285714285715,16.517857142857142,1.0,0.008463598733869005,1.521921921921922,0.9637707948243994,0.23809523809523808,0.3429360694554065,0.38690476190476186,corporate social responsibility + customer satisfaction,customer trust
0.021621621621621623,0.025225225225225224,0.009009009009009009,0.41666666666666663,16.517857142857142,1.0,0.008463598733869005,1.671042471042471,0.9602209944751382,0.23809523809523808,0.4015711645101663,0.38690476190476186,customer trust,corporate social responsibility + customer satisfaction
